#SampleID	Input	Filtered	DenoisedF	derepFs	Nonchim	Total reads lost	ASVs
ACK1	58618	55346	53244	55346	52358	94.6	89.32
ACK2	50672	47920	45129	47920	44729	93.34	88.27
ACK3	75006	71105	69054	71105	67914	95.51	90.54
AN1	85725	83437	82950	83437	81458	97.63	95.02
AN2	86627	83971	82439	83971	80866	96.3	93.35
AN3	94241	91656	90325	91656	88717	96.79	94.14
AR1	43608	41807	37057	41807	36911	88.29	84.64
AR2	47516	45104	41063	45104	41006	90.91	86.3
AR3	39899	37629	33450	37629	33334	88.59	83.55
SCK2.1	63871	61090	58455	61090	57845	94.69	90.57
SCK2.2	64879	61245	57877	61245	57365	93.66	88.42
SCK2.3	59115	55708	52512	55708	51675	92.76	87.41
SN2.1	44396	40306	34334	40306	33870	84.03	76.29
SN2.2	79248	76815	75292	76815	71384	92.93	90.08
SN2.3	78651	76334	74908	76334	71837	94.11	91.34
SR1	43341	40651	36146	40651	35920	88.36	82.88
SR2	50415	47954	43644	47954	43348	90.39	85.98
SR3	57746	55222	50379	55222	50216	90.93	86.96
YCK1	63682	61468	55977	61468	55332	90.02	86.89
YCK2	70229	67429	63720	67429	62775	93.1	89.39
YCK3	65971	64010	60817	64010	59064	92.27	89.53
YN1	93027	89526	88989	89526	86476	96.59	92.96
YN2	90229	87986	87240	87986	84331	95.85	93.46
YN3	90424	87331	86563	87331	84558	96.82	93.51
YR1	53407	51577	45537	51577	45223	87.68	84.68
YR2	77499	74875	70353	74875	69974	93.45	90.29
YR3	68131	65855	59277	65855	58967	89.54	86.55
