sample_ID	group1	group2	group3
YN1	AYN	ANodule	Young
YN2	AYN	ANodule	Young
YN3	AYN	ANodule	Young
AN1	BAN	ANodule	Active
AN2	BAN	ANodule	Active
AN3	BAN	ANodule	Active
SN2.1	CSN	ANodule	Senescent
SN2.2	CSN	ANodule	Senescent
SN2.3	CSN	ANodule	Senescent
YR1	DYR	BRhizosphere	Young
YR2	DYR	BRhizosphere	Young
YR3	DYR	BRhizosphere	Young
AR1	EAR	BRhizosphere	Active
AR2	EAR	BRhizosphere	Active
AR3	EAR	BRhizosphere	Active
SR1	FSR	BRhizosphere	Senescent
SR2	FSR	BRhizosphere	Senescent
SR3	FSR	BRhizosphere	Senescent
YCK1	GYCK	CBulk_soil	Young
YCK2	GYCK	CBulk_soil	Young
YCK3	GYCK	CBulk_soil	Young
ACK1	HACK	CBulk_soil	Active
ACK2	HACK	CBulk_soil	Active
ACK3	HACK	CBulk_soil	Active
SCK2.1	ISCK	CBulk_soil	Senescent
SCK2.2	ISCK	CBulk_soil	Senescent
SCK2.3	ISCK	CBulk_soil	Senescent
