"Id","phylum"
"[Eubacterium] brachy group","Firmicutes"
"[Eubacterium] eligens group","Firmicutes"
"[Eubacterium] fissicatena group","Firmicutes"
"[Eubacterium] hallii group","Firmicutes"
"[Eubacterium] ruminantium group","Firmicutes"
"[Eubacterium] siraeum group","Firmicutes"
"[Eubacterium] xylanophilum group","Firmicutes"
"[Ruminococcus] gauvreauii group","Firmicutes"
"[Ruminococcus] gnavus group","Firmicutes"
"[Ruminococcus] torques group","Firmicutes"
"AAP99","Proteobacteria"
"Abditibacterium","Abditibacteriota"
"Acidibacter","Proteobacteria"
"Acinetobacter","Proteobacteria"
"Actimicrobium","Proteobacteria"
"Actinomadura","Actinobacteriota"
"Actinomyces","Actinobacteriota"
"Actinomycetospora","Actinobacteriota"
"Actinorectispora","Actinobacteriota"
"Actinotalea","Actinobacteriota"
"Adhaeribacter","Bacteroidota"
"ADurb.Bin063-1","Verrucomicrobiota"
"Aeromicrobium","Actinobacteriota"
"Aeromonas","Proteobacteria"
"Afipia","Proteobacteria"
"Agathobacter","Firmicutes"
"Agromyces","Actinobacteriota"
"Ahniella","Proteobacteria"
"Akkermansia","Verrucomicrobiota"
"Aliidiomarina","Proteobacteria"
"Alistipes","Bacteroidota"
"Aliterella","Cyanobacteria"
"Alloactinosynnema","Actinobacteriota"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Proteobacteria"
"alphaI cluster","Proteobacteria"
"Altererythrobacter","Proteobacteria"
"Amaricoccus","Proteobacteria"
"Amycolatopsis","Actinobacteriota"
"Anaerolineaceae UCG-001","Chloroflexi"
"Anaeromyxobacter","Myxococcota"
"Anaerostipes","Firmicutes"
"Aquabacterium","Proteobacteria"
"Aquicella","Proteobacteria"
"Archangium","Myxococcota"
"Arcticibacter","Bacteroidota"
"Arsenicitalea","Proteobacteria"
"Aureimonas","Proteobacteria"
"Bacillus","Firmicutes"
"Bacteroides","Bacteroidota"
"Bauldia","Proteobacteria"
"BD1-7 clade","Proteobacteria"
"Bdellovibrio","Bdellovibrionota"
"Belnapia","Proteobacteria"
"Bifidobacterium","Actinobacteriota"
"Bilophila","Desulfobacterota"
"Blastocatella","Acidobacteriota"
"Blastococcus","Actinobacteriota"
"Blautia","Firmicutes"
"Brachybacterium","Actinobacteriota"
"Bradyrhizobium","Proteobacteria"
"Brevibacterium","Actinobacteriota"
"Brevundimonas","Proteobacteria"
"Bryobacter","Acidobacteriota"
"Butyricicoccus","Firmicutes"
"Butyricimonas","Bacteroidota"
"Caenimonas","Proteobacteria"
"CAG-352","Firmicutes"
"CAG-56","Firmicutes"
"Candidatus Accumulibacter","Proteobacteria"
"Candidatus Alysiosphaera","Proteobacteria"
"Candidatus Chlorothrix","Chloroflexi"
"Candidatus Microthrix","Actinobacteriota"
"Candidatus Solibacter","Acidobacteriota"
"Candidatus Udaeobacter","Verrucomicrobiota"
"Candidatus Xiphinematobacter","Verrucomicrobiota"
"Caulobacter","Proteobacteria"
"Cellulomonas","Actinobacteriota"
"CENA359","Cyanobacteria"
"Cetobacterium","Fusobacteriota"
"Chitinophaga","Bacteroidota"
"Christensenellaceae R-7 group","Firmicutes"
"Chroococcidiopsis SAG 2023","Cyanobacteria"
"Chthoniobacter","Verrucomicrobiota"
"Chungangia","Firmicutes"
"Citrobacter","Proteobacteria"
"CL500-29 marine group","Actinobacteriota"
"Clostridium sensu stricto 1","Firmicutes"
"Cnuella","Bacteroidota"
"Cohnella","Firmicutes"
"Colidextribacter","Firmicutes"
"Collinsella","Actinobacteriota"
"Comamonas","Proteobacteria"
"Conexibacter","Actinobacteriota"
"Constrictibacter","Proteobacteria"
"Coprobacter","Bacteroidota"
"Coprococcus","Firmicutes"
"Corynebacterium","Actinobacteriota"
"Craurococcus-Caldovatus","Proteobacteria"
"Crossiella","Actinobacteriota"
"Cupriavidus","Proteobacteria"
"Curvibacter","Proteobacteria"
"Cutibacterium","Actinobacteriota"
"Cyanothece PCC 7425","Cyanobacteria"
"Dechloromonas","Proteobacteria"
"Deinococcus","Deinococcota"
"Denitratisoma","Proteobacteria"
"Desulfomicrobium","Desulfobacterota"
"Desulfovibrio","Desulfobacterota"
"Devosia","Proteobacteria"
"Dialister","Firmicutes"
"Diaphorobacter","Proteobacteria"
"Dokdonella","Proteobacteria"
"Dongia","Proteobacteria"
"Dorea","Firmicutes"
"E1B-B3-114","Actinobacteriota"
"Edaphobaculum","Bacteroidota"
"Ellin6055","Proteobacteria"
"Ellin6067","Proteobacteria"
"Elusimicrobium","Elusimicrobiota"
"Enhydrobacter","Proteobacteria"
"Ensifer","Proteobacteria"
"Enterobacter","Proteobacteria"
"Enterococcus","Firmicutes"
"Erysipelotrichaceae UCG-003","Firmicutes"
"Faecalibacterium","Firmicutes"
"Family XIII UCG-001","Firmicutes"
"Ferruginibacter","Bacteroidota"
"Fictibacillus","Firmicutes"
"Flaviaesturariibacter","Bacteroidota"
"Flavihumibacter","Bacteroidota"
"Flavisolibacter","Bacteroidota"
"Flavonifractor","Firmicutes"
"Fournierella","Firmicutes"
"Friedmanniella","Actinobacteriota"
"Fusicatenibacter","Firmicutes"
"Gaiella","Actinobacteriota"
"GCA-900066575","Firmicutes"
"Gemmatimonas","Gemmatimonadota"
"Geodermatophilus","Actinobacteriota"
"Georgenia","Actinobacteriota"
"Geothrix","Acidobacteriota"
"Glycomyces","Actinobacteriota"
"Gordonia","Actinobacteriota"
"Haemophilus","Proteobacteria"
"Haliangium","Myxococcota"
"Halomonas","Proteobacteria"
