ID,YN1,YN2,YN3,AN1,AN2,AN3,SN2.1,SN2.2,SN2.3,YR1,YR2,YR3,AR1,AR2,AR3,SR1,SR2,SR3,YCK1,YCK2,YCK3,ACK1,ACK2,ACK3,SCK2.1,SCK2.2,SCK2.3,
[Agitococcus] lubricus group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[Anaerorhabdus] furcosa group,0,0,0,0,0,0,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[Caedibacter] taeniospiralis group,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114233,0,0,0,0,0,0,0,0,0,
[Clostridium] innocuum group,0,0,0,0,0,0.00E+00,0.003353576,0.001746668,0.000825869,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[Desulfobacterium] catecholicum group,0,0,0,0,0,0,0,0,0,0,0,0.000254972,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,
[Eubacterium] brachy group,0,0,0.00E+00,0.000196143,0,0,0,0,0,0.000555478,0.000630199,0.001019888,0.000564493,0,0.00E+00,0,0,0,0.000481541,0,0.000495233,0,0,0,0,0,0.00027066,
[Eubacterium] eligens group,0.00E+00,0,0,0.000261523,0.000128957,0,0,0.00E+00,0,0.000694348,0.000504159,0.000382458,0,0,0,0,0,0,0.000321027,0.002015191,0,0,0,0,5.28E-03,0.001425771,0.001353302,
[Eubacterium] fissicatena group,0,0,0,0,0,0.00E+00,0,0,0,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0.000310029,0.000123808,0,0,0,0,0,0,
[Eubacterium] hallii group,0,0,0,0,0,0,0.000181274,0,0,0,0.000756239,0,0.001411233,0.000863061,5.87E-03,0,0,0.0003427,0.000802568,0.000465044,0,0.000257599,2.50E-03,0,0.00711943,0.000801996,0.000631541,
[Eubacterium] nodatum group,0,0,0,6.53808E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000247617,0.0001288,0,0,0,0,0,
[Eubacterium] oxidoreducens group,0,0,0,0.00E+00,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[Eubacterium] ruminantium group,0,0,0,0,0,0.00E+00,0,0.000194074,6.35284E-05,0,0,0,0,0,0.000479272,0,0,0.00E+00,0.000160514,0.002325221,0.000495233,0,0,0.00E+00,0.002399808,0.000801996,0.000451101,
[Eubacterium] siraeum group,0,0,0,0.000261523,0,0,0.002537841,0.001552594,0.000127057,2.50E-03,0.00025208,0.000127486,0.000282247,0,0,0,1.64E-03,0,0.002407705,0.003720353,0.006561842,0,0,0,0,0,0.000451101,
[Eubacterium] ventriosum group,0,0,0,0.001438379,0.000644787,0,0,0,0.000127057,0,0.000378119,0,0,0,0,0,0,0,0,0,0.000123808,0,0.000357015,0,0.000479962,0,0.000360881,
[Eubacterium] xylanophilum group,0,0,0,0.000457666,0,0,0,0,0.00E+00,0,0,0,0.000564493,0,0.000239636,0,1.37E-03,0,0,0,0,0,0,0,0.000399968,0.000267332,0.000541321,
[Ruminococcus] gauvreauii group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002995447,0,0,0.0003427,0,0,0,0.00E+00,0,0.000168833,0.000479962,0.00E+00,0,
[Ruminococcus] gnavus group,0.000685316,0,0,0.000392285,0.000193436,0,0,0,0,0,0,0,0,0.000863061,0.002516175,0,0,0,0.000160514,0,0,0,0,0.0005065,0.004399648,0.001782214,0.001984843,
[Ruminococcus] torques group,0.00E+00,0.00E+00,0,0,0.000193436,0,0.001994018,0.000776297,0.00038117,0,0.004159314,0.000127486,0.000282247,0.001006904,0.015576324,0,0,0.006168609,0.001123596,0.000620059,0.000123808,0,0,0.000844167,8.40E-03,0.000356443,2.08E-03,
966-1,0.00E+00,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.000159987,0,0,
A2,0,0,0,5.23E-04,0,0,0,0.00E+00,0,0,0,0,0,0.00E+00,0.00E+00,0.000871514,0.001915709,0,0,0,0,0,0,0,0,0,0,
A815,0,0,0,0,0,0,0,0,0,1.39E-04,0.000378119,0,0.00E+00,0,0,0,0.00E+00,0,0.000160514,0,0,0,0,0,0,0,0,
AAP99,0,0,0,0,0,0,0,0,0.00E+00,0.003055131,0.002268717,0.003059663,0,0,0.00E+00,0,0,0,0.002407705,0,0.000495233,0.00E+00,0,0,0.00E+00,0,0.00E+00,
Abditibacterium,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0.00E+00,0,0.003210273,0.000155015,0.006561842,1.55E-03,0,0.009539085,0.001759859,0.000445553,0.003157705,
Acetatifactor,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0.00E+00,2.74E-04,0.00E+00,0,0,0,0.00E+00,0,0,0,0,0,
Acetobacter,0,0,0,0.00E+00,0,0,0.000362549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Acetobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,
Acetobacteroides,0,0,0,0,0,0,0,0,0,0,0,0.000127486,0,0,0,0.00E+00,0,0.00E+00,0,0,0,0,0,0,0,0,0,
