"Id","phylum"
"[Eubacterium] eligens group","Firmicutes"
"[Eubacterium] hallii group","Firmicutes"
"[Eubacterium] siraeum group","Firmicutes"
"[Eubacterium] xylanophilum group","Firmicutes"
"[Ruminococcus] gauvreauii group","Firmicutes"
"[Ruminococcus] gnavus group","Firmicutes"
"[Ruminococcus] torques group","Firmicutes"
"A2","Firmicutes"
"A815","Bacteroidota"
"AAP99","Proteobacteria"
"Acidovorax","Proteobacteria"
"Acinetobacter","Proteobacteria"
"Acrocarpospora","Actinobacteriota"
"Actinocorallia","Actinobacteriota"
"Actinomyces","Actinobacteriota"
"Actinomycetospora","Actinobacteriota"
"Actinophytocola","Actinobacteriota"
"Actinoplanes","Actinobacteriota"
"Adhaeribacter","Bacteroidota"
"ADurb.Bin063-1","Verrucomicrobiota"
"ADurb.Bin120","Chloroflexi"
"Aerococcus","Firmicutes"
"Aeromonas","Proteobacteria"
"Afipia","Proteobacteria"
"Agathobacter","Firmicutes"
"Ahniella","Proteobacteria"
"Akkermansia","Verrucomicrobiota"
"AKYG587","Planctomycetota"
"Aliidiomarina","Proteobacteria"
"Alistipes","Bacteroidota"
"Alloactinosynnema","Actinobacteriota"
"Allobaculum","Firmicutes"
"Alloprevotella","Bacteroidota"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Proteobacteria"
"Alterococcus","Verrucomicrobiota"
"Amycolatopsis","Actinobacteriota"
"Anaerolineaceae UCG-001","Chloroflexi"
"Anaeromyxobacter","Myxococcota"
"Anaerotruncus","Firmicutes"
"Anderseniella","Proteobacteria"
"Anoxybacillus","Firmicutes"
"Aquabacterium","Proteobacteria"
"Aquicella","Proteobacteria"
"Arenimonas","Proteobacteria"
"Aridibacter","Acidobacteriota"
"Asanoa","Actinobacteriota"
"ASF356","Firmicutes"
"Aureimonas","Proteobacteria"
"Azoarcus","Proteobacteria"
"BD1-7 clade","Proteobacteria"
"Bdellovibrio","Bdellovibrionota"
"Bifidobacterium","Actinobacteriota"
"Bilophila","Desulfobacterota"
"Blastocatella","Acidobacteriota"
"Blautia","Firmicutes"
"Bosea","Proteobacteria"
"Brachybacterium","Actinobacteriota"
"Bradyrhizobium","Proteobacteria"
"Brevundimonas","Proteobacteria"
"Butyricicoccus","Firmicutes"
"Caedibacter","Proteobacteria"
"Caenimonas","Proteobacteria"
"Caldisericum","Caldisericota"
"Candidatus Accumulibacter","Proteobacteria"
"Candidatus Alysiosphaera","Proteobacteria"
"Candidatus Berkiella","Proteobacteria"
"Candidatus Chlorothrix","Chloroflexi"
"Candidatus Competibacter","Proteobacteria"
"Candidatus Entotheonella","Entotheonellaeota"
"Candidatus Microthrix","Actinobacteriota"
"Candidatus Nitrotoga","Proteobacteria"
"Candidatus Ovatusbacter","Proteobacteria"
"Candidatus Soleaferrea","Firmicutes"
"Candidatus Udaeobacter","Verrucomicrobiota"
"Candidatus Xiphinematobacter","Verrucomicrobiota"
"Catenibacterium","Firmicutes"
"Caulobacter","Proteobacteria"
"Cephaloticoccus","Verrucomicrobiota"
"Chelatococcus","Proteobacteria"
"CHKCI001","Firmicutes"
"Christensenellaceae R-7 group","Firmicutes"
"Chryseobacterium","Bacteroidota"
"Chryseolinea","Bacteroidota"
