ID	Phylum
[Agitococcus] lubricus group	Proteobacteria
[Anaerorhabdus] furcosa group	Firmicutes
[Caedibacter] taeniospiralis group	Proteobacteria
[Clostridium] innocuum group	Firmicutes
[Desulfobacterium] catecholicum group	Desulfobacterota
[Eubacterium] brachy group	Firmicutes
[Eubacterium] eligens group	Firmicutes
[Eubacterium] fissicatena group	Firmicutes
[Eubacterium] hallii group	Firmicutes
[Eubacterium] nodatum group	Firmicutes
[Eubacterium] oxidoreducens group	Firmicutes
[Eubacterium] ruminantium group	Firmicutes
[Eubacterium] siraeum group	Firmicutes
[Eubacterium] ventriosum group	Firmicutes
[Eubacterium] xylanophilum group	Firmicutes
[Ruminococcus] gauvreauii group	Firmicutes
[Ruminococcus] gnavus group	Firmicutes
[Ruminococcus] torques group	Firmicutes
966-1	Proteobacteria
A2	Firmicutes
A815	Bacteroidota
AAP99	Proteobacteria
Abditibacterium	Abditibacteriota
Acetatifactor	Firmicutes
Acetobacter	Proteobacteria
Acetobacterium	Firmicutes
Acetobacteroides	Bacteroidota
Acholeplasma	Firmicutes
Achromobacter	Proteobacteria
Acidaminobacter	Firmicutes
Acidaminococcus	Firmicutes
Acidibacter	Proteobacteria
Acidothermus	Actinobacteriota
Acidovorax	Proteobacteria
Acinetobacter	Proteobacteria
Acrocarpospora	Actinobacteriota
Actibacter	Bacteroidota
Actimicrobium	Proteobacteria
Actinobacillus	Proteobacteria
Actinocorallia	Actinobacteriota
Actinomadura	Actinobacteriota
Actinomyces	Actinobacteriota
Actinomycetospora	Actinobacteriota
Actinophytocola	Actinobacteriota
Actinoplanes	Actinobacteriota
Actinorectispora	Actinobacteriota
Actinotalea	Actinobacteriota
Adhaeribacter	Bacteroidota
Adlercreutzia	Actinobacteriota
ADurb.Bin063-1	Verrucomicrobiota
ADurb.Bin118	Verrucomicrobiota
ADurb.Bin120	Chloroflexi
Aerococcus	Firmicutes
Aeromicrobium	Actinobacteriota
Aeromonas	Proteobacteria
Aerosphaera	Firmicutes
Aestuariimicrobium	Actinobacteriota
Afipia	Proteobacteria
Agathobacter	Firmicutes
Aggregatibacter	Proteobacteria
Agrococcus	Actinobacteriota
Agromyces	Actinobacteriota
Ahniella	Proteobacteria
Ahrensia	Proteobacteria
Akkermansia	Verrucomicrobiota
AKYG587	Planctomycetota
Alcaligenes	Proteobacteria
Algiphilus	Proteobacteria
Algoriphagus	Bacteroidota
Alicycliphilus	Proteobacteria
Aliidiomarina	Proteobacteria
Aliivibrio	Proteobacteria
Alistipes	Bacteroidota
Aliterella	Cyanobacteria
Alkalibacterium	Firmicutes
Alkalicoccus	Firmicutes
Alloactinosynnema	Actinobacteriota
Allobaculum	Firmicutes
Allocatelliglobosispora	Actinobacteriota
Alloiococcus	Firmicutes
Alloprevotella	Bacteroidota
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Proteobacteria
alphaI cluster	Proteobacteria
Alsobacter	Proteobacteria
Altererythrobacter	Proteobacteria
Alterococcus	Verrucomicrobiota
Alysiella	Proteobacteria
Amaricoccus	Proteobacteria
Aminobacter	Proteobacteria
Amycolatopsis	Actinobacteriota
Anaerocolumna	Firmicutes
Anaerofilum	Firmicutes
Anaerofustis	Firmicutes
Anaerolinea	Chloroflexi
Anaerolineaceae UCG-001	Chloroflexi
Anaeromyxobacter	Myxococcota
Anaeroplasma	Firmicutes
Anaerosporobacter	Firmicutes
Anaerostipes	Firmicutes
Anaerotruncus	Firmicutes
Anaerovibrio	Firmicutes
Anaerovorax	Firmicutes
Anderseniella	Proteobacteria
Aneurinibacillus	Firmicutes
Anoxybacillus	Firmicutes
Antricoccus	Actinobacteriota
Aquabacterium	Proteobacteria
Aquamicrobium	Proteobacteria
Aquicella	Proteobacteria
Aquiflexum	Bacteroidota
Aquimixticola	Proteobacteria
Aquipuribacter	Actinobacteriota
Archangium	Myxococcota
Arcticibacter	Bacteroidota
Arenimonas	Proteobacteria
Aridibacter	Acidobacteriota
Arsenicitalea	Proteobacteria
Arthrobacter	Actinobacteriota
Asanoa	Actinobacteriota
ASF356	Firmicutes
Atopobium	Actinobacteriota
Atopostipes	Firmicutes
Aurantisolimonas	Bacteroidota
Aureimonas	Proteobacteria
Azoarcus	Proteobacteria
Azohydromonas	Proteobacteria
Azospira	Proteobacteria
Azospirillum	Proteobacteria
Bacillus	Firmicutes
Bacteroides	Bacteroidota
Barnesiella	Bacteroidota
Bartonella	Proteobacteria
Bauldia	Proteobacteria
BD1-7 clade	Proteobacteria
Bdellovibrio	Bdellovibrionota
Bellilinea	Chloroflexi
Belnapia	Proteobacteria
Bergeyella	Bacteroidota
Bifidobacterium	Actinobacteriota
Bilophila	Desulfobacterota
BIyi10	Proteobacteria
Blastocatella	Acidobacteriota
Blastococcus	Actinobacteriota
Blastomonas	Proteobacteria
Blautia	Firmicutes
Blvii28 wastewater-sludge group	Bacteroidota
Bosea	Proteobacteria
Boseongicola	Proteobacteria
Brachybacterium	Actinobacteriota
Brachyspira	Spirochaetota
Bradyrhizobium	Proteobacteria
Brevibacillus	Firmicutes
Brevibacterium	Actinobacteriota
Brevundimonas	Proteobacteria
Brooklawnia	Actinobacteriota
Brucella	Proteobacteria
Bryobacter	Acidobacteriota
BSV13	Bacteroidota
Burkholderia-Caballeronia-Paraburkholderia	Proteobacteria
Butyricicoccus	Firmicutes
Butyricimonas	Bacteroidota
C1-B045	Proteobacteria
Caedibacter	Proteobacteria
Caenimonas	Proteobacteria
CAG-352	Firmicutes
CAG-56	Firmicutes
Caldisericum	Caldisericota
Caldithrix	Calditrichota
Candidatus Accumulibacter	Proteobacteria
Candidatus Alysiosphaera	Proteobacteria
Candidatus Amoebophilus	Bacteroidota
Candidatus Arthromitus	Firmicutes
Candidatus Berkiella	Proteobacteria
Candidatus Captivus	Proteobacteria
Candidatus Chlorothrix	Chloroflexi
Candidatus Competibacter	Proteobacteria
Candidatus Contendobacter	Proteobacteria
Candidatus Cryptoprodotis	Proteobacteria
Candidatus Entotheonella	Entotheonellaeota
Candidatus Finniella	Proteobacteria
Candidatus Glomeribacter	Proteobacteria
Candidatus Koribacter	Acidobacteriota
Candidatus Megaira	Proteobacteria
Candidatus Microthrix	Actinobacteriota
Candidatus Nitrotoga	Proteobacteria
Candidatus Omnitrophus	Verrucomicrobiota
Candidatus Ovatusbacter	Proteobacteria
Candidatus Paracaedibacter	Proteobacteria
Candidatus Saccharimonas	Patescibacteria
Candidatus Soleaferrea	Firmicutes
Candidatus Solibacter	Acidobacteriota
Candidatus Stoquefichus	Firmicutes
Candidatus Udaeobacter	Verrucomicrobiota
Candidatus Vestibaculum	Bacteroidota
Candidatus Xenohaliotis	Proteobacteria
Candidatus Xiphinematobacter	Verrucomicrobiota
Carnimonas	Proteobacteria
Carnobacterium	Firmicutes
Catellatospora	Actinobacteriota
Catelliglobosispora	Actinobacteriota
Catenibacterium	Firmicutes
Catenisphaera	Firmicutes
Catenococcus	Proteobacteria
Caulobacter	Proteobacteria
Cecembia	Bacteroidota
Celeribacter	Proteobacteria
Cellulomonas	Actinobacteriota
Cellvibrio	Proteobacteria
CENA359	Cyanobacteria
Centipeda	Firmicutes
Cephaloticoccus	Verrucomicrobiota
Cerasicoccus	Verrucomicrobiota
Cetobacterium	Fusobacteriota
Chelatococcus	Proteobacteria
Chitinophaga	Bacteroidota
CHKCI001	Firmicutes
CHKCI002	Actinobacteriota
Christensenellaceae R-7 group	Firmicutes
Chroococcidiopsis SAG 2023	Cyanobacteria
Chryseobacterium	Bacteroidota
Chryseoglobus	Actinobacteriota
Chryseolinea	Bacteroidota
Chryseomicrobium	Firmicutes
Chthoniobacter	Verrucomicrobiota
Chthonobacter	Proteobacteria
Chthonomonas	Armatimonadota
Chujaibacter	Proteobacteria
Chungangia	Firmicutes
Citricoccus	Actinobacteriota
Citrobacter	Proteobacteria
CL500-29 marine group	Actinobacteriota
CL500-3	Planctomycetota
Clostridioides	Firmicutes
Clostridium sensu stricto 1	Firmicutes
Clostridium sensu stricto 10	Firmicutes
Clostridium sensu stricto 11	Firmicutes
Clostridium sensu stricto 12	Firmicutes
Clostridium sensu stricto 13	Firmicutes
Cnuella	Bacteroidota
Cnuibacter	Actinobacteriota
Cohnella	Firmicutes
Colidextribacter	Firmicutes
Collinsella	Actinobacteriota
Colwellia	Proteobacteria
Comamonas	Proteobacteria
Conexibacter	Actinobacteriota
Conservatibacter	Proteobacteria
Constrictibacter	Proteobacteria
Coprobacter	Bacteroidota
Coprococcus	Firmicutes
Coriobacteriaceae UCG-002	Actinobacteriota
Corticibacterium	Proteobacteria
Corynebacterium	Actinobacteriota
Couchioplanes	Actinobacteriota
Coxiella	Proteobacteria
Craurococcus-Caldovatus	Proteobacteria
Crenothrix	Proteobacteria
Crocinitomix	Bacteroidota
Crossiella	Actinobacteriota
Cupriavidus	Proteobacteria
Curvibacter	Proteobacteria
